iter	Passed	Remaining
0	141	14021
1	146	7157
2	150	4862
3	155	3731
4	160	3044
5	164	2575
6	168	2244
7	173	1996
8	177	1797
9	182	1638
10	186	1505
11	190	1396
12	194	1302
13	198	1219
14	202	1145
15	206	1084
16	210	1027
17	214	976
18	218	931
19	222	890
20	226	852
21	231	819
22	235	788
23	239	759
24	244	732
25	248	707
26	252	683
27	257	661
28	261	639
29	265	618
30	268	597
31	272	579
32	278	565
33	284	551
34	289	538
35	294	523
36	299	509
37	303	495
38	307	480
39	311	466
40	314	452
41	318	440
42	323	428
43	328	418
44	333	407
45	337	396
46	341	385
47	346	375
48	350	365
49	354	354
50	359	344
51	363	335
52	368	327
53	374	318
54	378	310
55	382	300
56	387	292
57	391	283
58	396	275
59	401	267
60	404	258
61	408	250
62	412	242
63	415	233
64	420	226
65	425	219
66	429	211
67	433	203
68	437	196
69	440	188
70	444	181
71	448	174
72	452	167
73	456	160
74	460	153
75	465	146
76	469	140
77	474	133
78	478	127
79	482	120
80	486	114
81	490	107
82	494	101
83	498	95
84	502	88
85	506	82
86	510	76
87	515	70
88	521	64
89	526	58
90	532	52
91	537	46
92	541	40
93	545	34
94	549	28
95	553	23
96	558	17
97	561	11
98	565	5
99	569	0
