Algorithm,Number of Features,Number of Targets,k-fold Validation,RMSE (Mean ± Std),R² (Mean ± Std),Mean RMSE,Mean R²
Ridge Regression,12,1,10,0.0977 ± 0.0027,0.7791 ± 0.0089,0.09766355194514979,0.7790647660969614
Lasso Regression,12,1,10,0.2081 ± 0.0042,-0.0026 ± 0.0032,0.20809497433246943,-0.002600266867727541
Elastic Net,12,1,10,0.2081 ± 0.0042,-0.0026 ± 0.0032,0.20809497433246943,-0.002600266867727541
KNN Regression,12,1,10,0.1085 ± 0.0034,0.7273 ± 0.0122,0.10849870646189148,0.7273325822930027
Extra Trees,12,1,10,0.1019 ± 0.0024,0.7596 ± 0.0080,0.10188373010185262,0.7595680075173452
AdaBoost,12,1,10,0.1064 ± 0.0042,0.7381 ± 0.0133,0.10635351894315945,0.7380678932789214
Gradient Boosting,12,1,10,0.0989 ± 0.0024,0.7734 ± 0.0087,0.09889399398550724,0.7734472004903143
XGBoost,12,1,10,0.1071 ± 0.0017,0.7341 ± 0.0093,0.10713021283788896,0.734078224038296
LightGBM,12,1,10,0.1013 ± 0.0023,0.7622 ± 0.0094,0.10131203252377552,0.7622004285049246
CatBoost,12,1,10,0.1031 ± 0.0019,0.7539 ± 0.0038,0.10309361602456288,0.7538794838343127
HistGradientBoosting,12,1,10,0.1011 ± 0.0023,0.7634 ± 0.0090,0.10107055586970548,0.7633524469951918
